C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/04/24,02:00:00,0000000307082275,,0000000307082274
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",8,981
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",9,985
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",10,1000
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",11,1020
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",12,1049
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",13,1099
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",14,1140
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",15,1205
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",16,1233
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",17,1241
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",18,1214
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",19,1192
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",20,1164
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",21,1128
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",22,1102
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",23,1091
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",24,1077
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",25,969
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",26,1035
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",27,1040
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",28,1035
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",29,1052
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",30,1072
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",31,1089
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",32,1104
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",33,1134
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",34,1165
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",35,1215
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",36,1261
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",37,1269
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",38,1253
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",39,1232
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",40,1213
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",41,1184
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",42,1157
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",43,1130
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",44,1107
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",45,1072
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",46,1043
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",47,1020
D,DEMAND,HISTORIC,1,TAS1,"2019/04/23 00:00:00",48,999
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",1,4310
D,DEMAND,HISTORIC,1,VIC1,"2019/04/23 00:00:00",2,4183
